Board,Reference,Name,Footprint,Pin,Net
CCM,J1,Conn_01x02_Socket,Connector_Molex:Molex_Mini-Fit_Jr_5566-02A2_2x01_P4.20mm_Vertical,1,ready_to_drive_button
CCM,J1,Conn_01x02_Socket,Connector_Molex:Molex_Mini-Fit_Jr_5566-02A2_2x01_P4.20mm_Vertical,2,brake_light
CCM,J10,Conn_01x02_Socket,Connector_Molex:Molex_Mini-Fit_Jr_5566-02A2_2x01_P4.20mm_Vertical,1,speaker+
CCM,J10,Conn_01x02_Socket,Connector_Molex:Molex_Mini-Fit_Jr_5566-02A2_2x01_P4.20mm_Vertical,2,speaker-
CCM,J11,Conn_01x02_Socket,Connector_Molex:Molex_Mini-Fit_Jr_5566-02A2_2x01_P4.20mm_Vertical,1,Fan+
CCM,J11,Conn_01x02_Socket,Connector_Molex:Molex_Mini-Fit_Jr_5566-02A2_2x01_P4.20mm_Vertical,2,Pump1-
CCM,J12,Conn_01x02_Socket,Connector_Molex:Molex_Mini-Fit_Jr_5566-02A2_2x01_P4.20mm_Vertical,1,Fan+
CCM,J12,Conn_01x02_Socket,Connector_Molex:Molex_Mini-Fit_Jr_5566-02A2_2x01_P4.20mm_Vertical,2,Pump2-
CCM,J13,Conn_01x02_Socket,Connector_Molex:Molex_Mini-Fit_Jr_5566-02A2_2x01_P4.20mm_Vertical,1,Fan+
CCM,J13,Conn_01x02_Socket,Connector_Molex:Molex_Mini-Fit_Jr_5566-02A2_2x01_P4.20mm_Vertical,2,GLV-
CCM,J14,Conn_01x04_Socket,Connector_Molex:Molex_Mini-Fit_Jr_5566-04A2_2x02_P4.20mm_Vertical,1,gpio4
CCM,J14,Conn_01x04_Socket,Connector_Molex:Molex_Mini-Fit_Jr_5566-04A2_2x02_P4.20mm_Vertical,2,gpio3
CCM,J14,Conn_01x04_Socket,Connector_Molex:Molex_Mini-Fit_Jr_5566-04A2_2x02_P4.20mm_Vertical,3,GLV-
CCM,J14,Conn_01x04_Socket,Connector_Molex:Molex_Mini-Fit_Jr_5566-04A2_2x02_P4.20mm_Vertical,4,GLV-
CCM,J16,Conn_01x04_Socket,Connector_Molex:Molex_Mini-Fit_Jr_5566-04A2_2x02_P4.20mm_Vertical,1,Fan+
CCM,J16,Conn_01x04_Socket,Connector_Molex:Molex_Mini-Fit_Jr_5566-04A2_2x02_P4.20mm_Vertical,2,Fan_PWM
CCM,J16,Conn_01x04_Socket,Connector_Molex:Molex_Mini-Fit_Jr_5566-04A2_2x02_P4.20mm_Vertical,3,GLV-
CCM,J16,Conn_01x04_Socket,Connector_Molex:Molex_Mini-Fit_Jr_5566-04A2_2x02_P4.20mm_Vertical,4,unconnected-(J16-Pin_4-Pad4)
CCM,J17,Conn_01x04_Socket,Connector_Molex:Molex_Mini-Fit_Jr_5566-04A2_2x02_P4.20mm_Vertical,1,thermistor2+
CCM,J17,Conn_01x04_Socket,Connector_Molex:Molex_Mini-Fit_Jr_5566-04A2_2x02_P4.20mm_Vertical,2,thermistor1+
CCM,J17,Conn_01x04_Socket,Connector_Molex:Molex_Mini-Fit_Jr_5566-04A2_2x02_P4.20mm_Vertical,3,GLV-
CCM,J17,Conn_01x04_Socket,Connector_Molex:Molex_Mini-Fit_Jr_5566-04A2_2x02_P4.20mm_Vertical,4,GLV-
CCM,J18,Conn_01x04_Socket,Connector_Molex:Molex_Mini-Fit_Jr_5566-04A2_2x02_P4.20mm_Vertical,1,thermistor4+
CCM,J18,Conn_01x04_Socket,Connector_Molex:Molex_Mini-Fit_Jr_5566-04A2_2x02_P4.20mm_Vertical,2,thermistor3+
CCM,J18,Conn_01x04_Socket,Connector_Molex:Molex_Mini-Fit_Jr_5566-04A2_2x02_P4.20mm_Vertical,3,GLV-
CCM,J18,Conn_01x04_Socket,Connector_Molex:Molex_Mini-Fit_Jr_5566-04A2_2x02_P4.20mm_Vertical,4,GLV-
CCM,J2,Conn_01x02_Socket,Connector_Molex:Molex_Mini-Fit_Jr_5566-02A2_2x01_P4.20mm_Vertical,1,i2c_SCL
CCM,J2,Conn_01x02_Socket,Connector_Molex:Molex_Mini-Fit_Jr_5566-02A2_2x01_P4.20mm_Vertical,2,i2c_SDA
CCM,J3,Conn_01x02_Socket,Connector_Molex:Molex_Mini-Fit_Jr_5566-02A2_2x01_P4.20mm_Vertical,1,CANL_2
CCM,J3,Conn_01x02_Socket,Connector_Molex:Molex_Mini-Fit_Jr_5566-02A2_2x01_P4.20mm_Vertical,2,CANH_2
CCM,J4,Conn_01x04_Socket,Connector_Molex:Molex_Mini-Fit_Jr_5566-04A2_2x02_P4.20mm_Vertical,1,lin_pot_4
CCM,J4,Conn_01x04_Socket,Connector_Molex:Molex_Mini-Fit_Jr_5566-04A2_2x02_P4.20mm_Vertical,2,lin_pot_3
CCM,J4,Conn_01x04_Socket,Connector_Molex:Molex_Mini-Fit_Jr_5566-04A2_2x02_P4.20mm_Vertical,3,lin_pot_2
CCM,J4,Conn_01x04_Socket,Connector_Molex:Molex_Mini-Fit_Jr_5566-04A2_2x02_P4.20mm_Vertical,4,lin_pot_1
CCM,J5,Conn_01x04_Socket,Connector_Molex:Molex_Mini-Fit_Jr_5566-04A2_2x02_P4.20mm_Vertical,1,gpio2
CCM,J5,Conn_01x04_Socket,Connector_Molex:Molex_Mini-Fit_Jr_5566-04A2_2x02_P4.20mm_Vertical,2,gpio1
CCM,J5,Conn_01x04_Socket,Connector_Molex:Molex_Mini-Fit_Jr_5566-04A2_2x02_P4.20mm_Vertical,3,GLV-
CCM,J5,Conn_01x04_Socket,Connector_Molex:Molex_Mini-Fit_Jr_5566-04A2_2x02_P4.20mm_Vertical,4,GLV-
CCM,J6,Conn_01x02_Socket,Connector_Molex:Molex_Mini-Fit_Jr_5566-02A2_2x01_P4.20mm_Vertical,1,Vin
CCM,J6,Conn_01x02_Socket,Connector_Molex:Molex_Mini-Fit_Jr_5566-02A2_2x01_P4.20mm_Vertical,2,GLV-
CCM,J7,Conn_01x02_Socket,Connector_Molex:Molex_Mini-Fit_Jr_5566-02A2_2x01_P4.20mm_Vertical,1,PWM_in_1
CCM,J7,Conn_01x02_Socket,Connector_Molex:Molex_Mini-Fit_Jr_5566-02A2_2x01_P4.20mm_Vertical,2,PWM_in_2
CCM,J8,Conn_01x04_Socket,Connector_Molex:Molex_Mini-Fit_Jr_5566-04A2_2x02_P4.20mm_Vertical,1,brake_1
CCM,J8,Conn_01x04_Socket,Connector_Molex:Molex_Mini-Fit_Jr_5566-04A2_2x02_P4.20mm_Vertical,2,acc_ped_2
CCM,J8,Conn_01x04_Socket,Connector_Molex:Molex_Mini-Fit_Jr_5566-04A2_2x02_P4.20mm_Vertical,3,brake_2
CCM,J8,Conn_01x04_Socket,Connector_Molex:Molex_Mini-Fit_Jr_5566-04A2_2x02_P4.20mm_Vertical,4,acc_ped_1
CCM,J9,Conn_01x02_Socket,Connector_Molex:Molex_Mini-Fit_Jr_5566-02A2_2x01_P4.20mm_Vertical,1,CANL_1
CCM,J9,Conn_01x02_Socket,Connector_Molex:Molex_Mini-Fit_Jr_5566-02A2_2x01_P4.20mm_Vertical,2,CANH_1
